,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,date
0,moelhoej,Danmarks bedste twitter profil i mange år #dkmedier #dkfinans #startup Twitter since 27. Jul 2009 #olrikcompany #dkpol #dkøko #Danmark #iværksætter #news,"Copenhagen, Denmark",3974,3604,47132,1,"@Heunicke jeg forventer du er på ferie siden vi stadig er på det stadie hvor vi lukker sogn grundet en stigende smitte?

Danmark er jo snart vaccineret så stop ærligt!
#dkpol #COVID19dk",[],2021-08-22 08:00:05
1,AndersFoqh,"Entrepreneur by nature 🌱 Founder, CEO and co-owner of Startup Central DK #iværksætterminister 💪🏾 My heart belongs to Liverpool FC #YNWA ⚽️",Danmark,9,32,476,1,"@Heunicke jeg forventer du er på ferie siden vi stadig er på det stadie hvor vi lukker sogn grundet en stigende smitte?

Danmark er jo snart vaccineret så stop ærligt!
#dkpol #COVID19dk","['dkpol', 'COVID19dk']",2021-08-22 07:46:02
2,boegebaronen,,,147,36,1036,8,"Hvad med denne overskrift, @DRNyheder?

#dkpol #Covid19dk https://t.co/p7xrYzM2ce","['dkpol', 'Covid19dk']",2021-08-22 07:35:38
3,CommonSenseASAP,"CivilDisobedience is a sacred duty when the state becomes BS. Ghandi
The future WILL be decentralized. Orwell
Former lawyer. Now investments only.",#eUSSR-vassalstate denmark,5055,9409,48725,8,"Hvad med denne overskrift, @DRNyheder?

#dkpol #Covid19dk https://t.co/p7xrYzM2ce","['dkpol', 'Covid19dk']",2021-08-22 07:24:35
4,MaguaSif,AaB - anno 1885. Forest. Fallout. Space: 1999. Star Trek. Carlsberg 47. Etnisk Vendelbo. Rosinante. Katte. Ytringsfrihedsfanatiker🇩🇰❤🇮🇱 #ReformérDemokratiet,USS Enterprise,673,578,49776,8,"Hvad med denne overskrift, @DRNyheder?

#dkpol #Covid19dk https://t.co/p7xrYzM2ce","['dkpol', 'Covid19dk']",2021-08-22 07:09:20
5,AnMeVase,"My values are health, honesty, politics, mathematics, logic, philosophy, western culture, spirituel world,  life!",,152,1010,27167,4,"Elsker at man pointerer at den er taget ud af dk's program! Det betyder dog ikke at ingen får den i dk. Tværtimod!

I er SÅ afskyelige i jeres forfejlede retorik  @tv2nyhederne det er simpelthen så vildt så manipulerende i er!
I burde lukkes for misbrug af magt!
#dkpol #covid19dk https://t.co/unXcg3j5Mn",[],2021-08-22 06:33:09
6,nbm_1981,IT Automation Consultant (MCAAA/MCSA/MCP). Likes logic. Father of 3. Against covid restrictions since June 2020. Private profile.,"København, Danmark",613,620,12488,0,"Hvad er status i Danmark start 2022?
#dkpol #coronadk #covid19dk","['dkpol', 'coronadk', 'covid19dk']",2021-08-22 06:20:46
7,MbhLlen,Jeg er mig Har en mening om mangt og meget Blokerer ikke for sådan er et demokrati,Danmark,221,122,5901,4,"Elsker at man pointerer at den er taget ud af dk's program! Det betyder dog ikke at ingen får den i dk. Tværtimod!

I er SÅ afskyelige i jeres forfejlede retorik  @tv2nyhederne det er simpelthen så vildt så manipulerende i er!
I burde lukkes for misbrug af magt!
#dkpol #covid19dk https://t.co/unXcg3j5Mn",[],2021-08-22 05:31:58
8,Riis81417347,"DK female freedom-fighter, critic of Islam & socialism/communism
We will free Denmark and restore it piece by piece!
A Dane - currently working abroad.
#Freedom",,341,340,10888,4,"Elsker at man pointerer at den er taget ud af dk's program! Det betyder dog ikke at ingen får den i dk. Tværtimod!

I er SÅ afskyelige i jeres forfejlede retorik  @tv2nyhederne det er simpelthen så vildt så manipulerende i er!
I burde lukkes for misbrug af magt!
#dkpol #covid19dk https://t.co/unXcg3j5Mn",[],2021-08-22 05:09:20
9,Mr____Freedom,"Activism, freedom and power to the people ✊🏽 #freeobserver #frihedskæmper #freespirit of the world ✌🏽️","Sjælland, Danmark",136,121,1223,4,"Elsker at man pointerer at den er taget ud af dk's program! Det betyder dog ikke at ingen får den i dk. Tværtimod!

I er SÅ afskyelige i jeres forfejlede retorik  @tv2nyhederne det er simpelthen så vildt så manipulerende i er!
I burde lukkes for misbrug af magt!
#dkpol #covid19dk https://t.co/unXcg3j5Mn",[],2021-08-22 05:07:35
10,sur_mann,"🖇 Fri-rummets tankespind -ofte i forargelsens tegn 🇩🇰 #ærlig #debat om alt, men nok mest #dkpol. Smiler dagligt. -Også til folk jeg møder på gaden😁","Hovedstaden, Danmark",250,189,5378,4,"Elsker at man pointerer at den er taget ud af dk's program! Det betyder dog ikke at ingen får den i dk. Tværtimod!

I er SÅ afskyelige i jeres forfejlede retorik  @tv2nyhederne det er simpelthen så vildt så manipulerende i er!
I burde lukkes for misbrug af magt!
#dkpol #covid19dk https://t.co/unXcg3j5Mn","['dkpol', 'covid19dk']",2021-08-22 05:03:00
