,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,date
0,o_oukari,"Professionel sexturist i Thailand. Livet er en lort, bare husk at fjerne fluerne",,9,8,9,0,Fanta Peach har smag af gammelt opkast #dkpol #roberthansenmel,"['dkpol', 'roberthansenmel']",2021-08-18 23:53:04
1,JakobRuggaard,Socialist. Strategisk rådgiver for @Enhedslisten. Tweeter om #dkpol. Tlf: 26422506/61623460,København NV,1709,1905,4575,13,"Hvor er det VILDT stærkt gået, naturvenner!
Hvad ingen relevant myndighed har formået, har græsrødder nu sikret. Byggeriet - hele byggeriet - er nu stoppet!
Nu skal det bare gøres permanent, så naturen fortsat kan råde på Lærkesletten!
#dkpol #dkgreen https://t.co/sBhbxRGB7e",[],2021-08-18 23:51:27
2,MrBenBen,EU - fordi jeg tror på at samarbejde og fællesskaber sikrer freden og veldstand i Europa.,Denmark,1267,436,28437,18,".@Enhedslisten vil sammen med regeringen, SF og R give mulighed for, at op til fire forældre kan dele forældreorloven. Det er vigtigt for regnbuefamilier - og et skridt på vejen mod fuld juridisk anerkendelse af, at man kan have mere end kun to forældre #🌈 #dkpol",[],2021-08-18 23:47:06
3,BoltherHelle,"Billedkunstner og Cand .Phil Kunstakademiet KBH.  Født 1960 i Helsingør .Bor i Nørrebro Park Kvarter på 28 ende år. 
Kommer fra Esbjerg og Fanø.",NørrebroPark Kvarter. K.B.H . ,1288,135,3716,7,Mit hjerte bløder for Afghansistan kvinder 💔 som går en tid i møde med vold og undertrykkelse. Jeg er stolt af at @DannerDk har udført så vigtigt arbejde for kvinders frihed i #Afghanistan. I @Kvinderaadet ved vi hvad det betyder når NGOer kæmper sammen for #ligestilling #dkpol https://t.co/C2bHsIwBHo,[],2021-08-18 23:43:06
4,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,3,"Godt nyt! 

Borgere får medhold i protest over udvidelse af kvægbrug i Esbjerg. Som i mange kommuner oplevede politikere at være tvunget til at sige ja.
 
Brug for politisk ændring, så kommuner kan sige nej til udvidelse af svinefabrikker! #dkgreen #dkpol https://t.co/rznUi6nsBy",[],2021-08-18 23:40:42
5,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,25,"Søren Pape kan ikke huske, hvornår han første gang hørte rygter om, at Khader skulle have krænket kvinder. Det er »et par år siden«, siger han. Først i slutningen af 2020 oprettede K en whistleblower-ordning. Og først efter DRs artikel blev advokatundersøgelsen sat i gang. #dkpol",[],2021-08-18 23:31:04
6,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,9,"En lokal forening, en kok og borgere passer bedre på naturen og har større respekt for de love, der skal beskytte den, end langt størstedelen af #dkpol’s partier. Det var kun Enhedslisten, @friegronne &amp; Å, der satte naturen på Amager Fælled højere end vækst og prestige.",[],2021-08-18 23:30:48
7,Trekant2,just looking around,Danmark,447,142,2256,3,"Ok. Så fordi guvernøren er skeptisk over for mundbind, så er han skeptisk over for vira? Som han i øvrigt er vaccineret for. Eller hvad hænger overskriften på ⁦@tv2nyhederne⁩? Vil I puste til hahahaså så blev han syg selv? #dkpol #dkmedier #covid  https://t.co/PpttrDcRYY",[],2021-08-18 23:30:41
8,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,8,Forbud mod Croptops = negativ social kontrol - unge kvinder skal ikke udskammes for at klæde sig som de vil - de skal ikke tage ansvar for mænd og drenges gammeldags moral og manglende koncentrationsevne #croptop #dkmedier #dkpol https://t.co/PbvfxusY64,[],2021-08-18 23:30:15
9,KirstenSletbjer,IAGTTAGENDE !,"Kalundborg, Danmark",1994,1416,18585,1,"@rikrikriksen @regeringDK Det har ikke altid vært sådan. En af de værste ting #dkpol  har gjort, er at føre en retorik i medier, og på SoMe, hvor de har opmuntret vælgerne at angribe hinanden og dermed skabt splid i befolkningen,der nu også bruger samme angrebstaktik på hinanden. 

Sådan var det ikke før.",['dkpol'],2021-08-18 23:12:20
10,KirstenSletbjer,IAGTTAGENDE !,"Kalundborg, Danmark",1994,1416,18585,12,"Min afsky for @regeringDK, politikerleden og mistillid til vores folkevalgte har nået en uoverskuelig størrelse. De seneste dage har gjort det svært overhovedet at rumme. Har politik altid været så ulækkert, uhæderligt og inkompetent? Hvem tør man snart sætte sin lid til? #dkpol",[],2021-08-18 23:08:41
11,KirstenSletbjer,IAGTTAGENDE !,"Kalundborg, Danmark",1994,1416,18585,2,"@KirstenSletbjer @folketinget @dkpol_net Ikke meget bør komme bag på ret mange... US aftalen 2020 beretter det meste - for over et år siden🙈

https://t.co/LnnTlXLct8",[],2021-08-18 23:06:01
12,larswerge,"Direktør for brancheforeningen Danske Biografer
Journalist, forfatter, debattør
Kandidat til FT for Socialdemokratiet
Sæsonkort til Vejle Stadion
☎️ 2986 6707",Vangede,849,11047,37912,0,"Det er forældres pligt og ansvar at opdrage deres børn.
Det er skolens ansvar at inkludere og gøre grænserne tydelige.
Men skellet går ved påklædningen. Dét må afgøres hjemme. I tiltro til, at valget respekteres.
Ikke mindst i og af skolen
#dkpol
https://t.co/CH8X6RXlZr",['dkpol'],2021-08-18 23:02:20
13,FatimaH84791733,"Islam skal stoppes med alle midler. Islam er en ekstremt racistisk religion

Islam should be stopped by all means. Islam is an extremely racist religion",,1074,234,1097,3,"Nu vil S give barsel til far, mor og medfar… Men hvad med flerkoneri? Det er også mangfoldighed 🤷‍♂️

Med hvilken begrundelsen vil regeringen sige nej til dem, og hvordan vil man fastholde et nej, når tre eller flere forældre godt må det ene sted, men ikke det andet sted? #dkpol",[],2021-08-18 23:02:04
14,FatimaH84791733,"Islam skal stoppes med alle midler. Islam er en ekstremt racistisk religion

Islam should be stopped by all means. Islam is an extremely racist religion",,1074,234,1097,3,"Vi hører meget om hvad LGTBQ+ personer føler. Jeg kan så sige, at jeg føler at det har taget overhånd at uanset hvor jeg kigger hen, så hænger der et regnbueflag. Kan vi ikke bare flage med gode gamle Dannebrog 🇩🇰 #dkpol",[],2021-08-18 23:00:02
15,bjarkhamarmusic,Liberal socialist. Retwitter of good opinions i... I think😅 vaccinated!! #allnarcsarebastrads,"Aalborg, Danmark",534,174,13606,4,"Når der nu ikke er tid til at tage alle spørgsmål - og svare oprigtigt på alle spørgsmål til #pressemødet. Er det så fordi man skal til koncert ? - eller fordi der skal smøres makrelmadder ? 

I skal stå til ansvar. 

Gennemsigtighed er afgørende. 

#dkpol #drmedier https://t.co/GBSNETpViD",['pressemødet'],2021-08-18 22:57:38
16,arolsting,"#knowledge #innovation #futureofwork #learning #cocreation #goodpractice #viden #læring #samskabelse 

https://t.co/b9Bu6ry8X4",Denmark,1573,520,4598,5,"Gen gentager gerne: Jeg synes det principielt er en uskik at partierne udpeger medlemmer af folketinget som statsrevisor. Det bør være medlemmer udefra, der kan sidde perioden ud og give kontinuitet i ekstremt vigtigt arbejde: https://t.co/fHtoraVz04 #dkpol",[],2021-08-18 22:42:55
17,MargueritteEch,|⚜️Author & Freelance-writer⚜️|L&R~Egmont~Aller~Saxo Publish~ Forfatterskabet | Member of Danish Author Union/Society |📚Historical & Political Researcher,⚜️🇩🇰Denmark~Copenhagen Area,2758,3251,32739,1,"@rikrikriksen @regeringDK Det har ikke altid vært sådan. En af de værste ting #dkpol  har gjort, er at føre en retorik i medier, og på SoMe, hvor de har opmuntret vælgerne at angribe hinanden og dermed skabt splid i befolkningen,der nu også bruger samme angrebstaktik på hinanden. 

Sådan var det ikke før.",['dkpol'],2021-08-18 22:42:19
18,PeterBangRoenne,Far til 2 drenge. Socialrådgiver med fokus på medborgerens side altid. Musiker. Kritisk tænkende og undersøgende.,"Syddanmark, Danmark",403,128,1135,7,"1/n. Politiken har i dag et nyt eksempel på dårlig coronajournalistik. Hvis journalisterne havde brugt tid på at læse artiklen, de skriver om, ville de have konstateret en række mangler.
https://t.co/Afr1IJ80n0
#stopdet #dkpol #dkmedier #sundpol #Covid19dk #coronadk #COVID19",[],2021-08-18 22:41:25
19,DrDuncombe,Chief Medical Officer at the International Association of Providers of AIDS Care. Together we can end the epidemic,,115,129,2229,9,I @koebenhavner går vi forrest i kampen mod hiv/aids! Under #WorldPride mødtes jeg med @IAPAC og @AIDSFondet til snak om vores deltagelse i @FastTrackCities og præsentation af international rapport om LGBTI+ personers rettigheder og sundhed #Youareincluded #sundpol #kbhpol #dkpol https://t.co/xKb9OpoHW8,['WorldPride'],2021-08-18 22:38:13
20,KellerJoker,Aktiv i @noah_dk. Pensioneret gymnasielærer (dansk og historie),Lyngby,15,17,218,0,"De  200+ forskere vil skabe kunstigt kød, beholde den animalske produktion (!) og fordoble planteproduktionen -og øge det dyrkede areal. Begrænse  metanudslip, bruge lavbundsjorde - og kvælstofbegrænsning kun i mindre målestok. Der er vist mange landbrugsfolk med? #dkpol #dkgreen","['dkpol', 'dkgreen']",2021-08-18 22:38:12
21,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,15,"Konservative vil IKKE fremlægge den uafhængige rapport om omfanget af sexisme/krænkelser i partiet. 

Både @radikale og @SFpolitik offentliggjorde deres lignende rapporter. #dkpol",[],2021-08-18 22:37:45
22,MargueritteEch,|⚜️Author & Freelance-writer⚜️|L&R~Egmont~Aller~Saxo Publish~ Forfatterskabet | Member of Danish Author Union/Society |📚Historical & Political Researcher,⚜️🇩🇰Denmark~Copenhagen Area,2758,3251,32739,12,"Min afsky for @regeringDK, politikerleden og mistillid til vores folkevalgte har nået en uoverskuelig størrelse. De seneste dage har gjort det svært overhovedet at rumme. Har politik altid været så ulækkert, uhæderligt og inkompetent? Hvem tør man snart sætte sin lid til? #dkpol",[],2021-08-18 22:36:05
23,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,14,"Det er ikke de Konservative der har stoppet en seriekrænker, ved at ekskludere ham fra af partiet. Det er de stærke og modige kvinder, der har delt deres vidnesbyrd.
#metoo #dkpol 

https://t.co/KGvUulivK5",[],2021-08-18 22:35:04
24,GitteKJP,"Søger viden, nyheder og indsigter til eftertanke.",København,972,947,231338,2,"Servicetweet

Mens @friegronne er 4/5 i mål med vælgererklæringer, roder Den Store Politiske Håndværker rundt med en tilslutning langt under 1/3

I øvrigt spændende, at et borgerforslag kræver 50.000 underskrifter, et politisk parti blot ca 20.000

#dkpol",[],2021-08-18 22:32:50
25,Brockdorff_H,Formand BUPL Hovedstaden. mobil 28264808 e-mail: hvb@bupl.dk,,623,467,2853,4,"Du har ret @SthePol - @AneHalsboe fik pædagoguddannelsen på dagsordenen. Og hverken udd eller småbørnsområdet må forsvinde ud i glemslen, med nye politikere ved roret. Det er det alt for vigtigt til #uddpol #dkpol https://t.co/Es9WaSDlxR",[],2021-08-18 22:29:53
26,HildingJiri,Do you want to see them happy or yourself happy?,,22,0,1,0,"Jeg giver det et år og så er NATO-landene inde i krigen mod Taliban igen, bare hvor det er tilbage fra scratch. #Taliban #Afghanistan #Kabul #NATO #dkpol","['Taliban', 'Afghanistan', 'Kabul', 'NATO', 'dkpol']",2021-08-18 22:26:19
27,Mads5408,,Denmark,370,39,1896,1,"🇬🇧 Skotske premierminister Sturgeon taler ved åbning af borgerlønskongressen i Glasgow
#dkpol #dkmedier https://t.co/bDRAzZGyde","['dkpol', 'dkmedier']",2021-08-18 22:14:50
28,AndersIskov,🌍,Istanbul,889,69,962,9,"Jeg forstår simpelthen ikke Bramsen. Hvis hun vidste at tingene ændrede sig time for time søndag, sagde god for at et militærfly skulle flyve til Afghanistan søndag, hvorfor står hun så til et sælarrangement på Ærø søndag. Jeg forstår det virkelig ikke #dkpol",[],2021-08-18 22:14:22
29,HessellundBente,"Aktiv i miljøbevægelsen @noah_dk. Tweeter om landbrug og klima, biomasse til energi og transport",,120,68,196,7,"Jeg tænker, du nok har adgang til New York Times ⁦@RasmusPrehn⁩ og kan læse om de problemer det giver, at ukrudtsmidler skaber “super-ukrudt” som er resistent mod midlerne og derfor opformeres og bliver et kæmpe problem 🧐 #dkpol #dkgreen #dknatur  https://t.co/b8TrE72qyp",[],2021-08-18 22:13:50
30,PerPede93264500,"GAB: @Patriot_DK
GETTR: @Patriot_DK
FRIHED! 🇩🇰
ÅBN LANDET HELT OP! 🇩🇰
SKROT DEN NYE EPIDEMILOV! 🇩🇰
GENINDFØR GRUNDLOVEN! 🇩🇰
Body Confident",,227,216,6196,2,"#dkpol Samtlige soldater der tjenestegjort i Afganistan - burde få tildelt Dronningens Fortjeneste medalje for den indsats de gjorde på vegne af Danmark. De burde få anerkendelse for at de gjorde en forskel. Især vigtig i disse dage, hvor 1 mands beslutning fik alt til at ramle. https://t.co/marji7V8ar",['dkpol'],2021-08-18 22:13:22
31,sonimacmonifoni,MSc in Pharmacy with field in analytical chemistry on Cannabis. A fighting passion for world politics and classic Mercedes Benz’.,On the road,469,281,4718,0,"Er der stadig nogle klarttænkende danskere, der seriøst kan støtte denne mand!? Han er decideret farlig for verdenssamfundet, præsenil og ekstremt verdensfjern; udover selvfølgelig at være en dukke for den globale elite, der gav ham hans “81 millioner stemmer”. #dkpol #uspol https://t.co/Dr9H9tINaw","['dkpol', 'uspol']",2021-08-18 22:12:03
32,viggo1986,"Danish by all my heart. Foragter begærlighed, uretfærdighed, udnyttelse af andre, fanatisme og ideologien i Koranen. Holder af livet, medm.lighed, samf.forhold","sydhavsøerne v/""havet"" ",1354,1090,65225,2,"#dkpol Samtlige soldater der tjenestegjort i Afganistan - burde få tildelt Dronningens Fortjeneste medalje for den indsats de gjorde på vegne af Danmark. De burde få anerkendelse for at de gjorde en forskel. Især vigtig i disse dage, hvor 1 mands beslutning fik alt til at ramle. https://t.co/marji7V8ar",['dkpol'],2021-08-18 22:10:33
33,Mads5408,,Denmark,370,39,1896,1,"Ud over at det er dumt at man skal begrænse pigers ret til at udtrykke sig til fordel for drenges fokus. Så er det meget nedladende, at man bygger det på en præmis om at drenge ikke kan fokusere på en time, hvis at der er en pige til stede i en kort t-shirt. #dkpol",[],2021-08-18 22:10:00
